"stateID","state","indicator","type","estimate","lcl","ucl"
12,"South Kourdofan","WASH: Protected well","Proportion",6.22,0.01,13.41
12,"South Kourdofan","WASH: Filtered surface water","Proportion",11.71,2.35,21.08
12,"South Kourdofan","WASH: Trucked from improved sources","Proportion",1.13,0.01,5.29
12,"South Kourdofan","WASH: Bottled water","Proportion",0,0,0.08
12,"South Kourdofan","WASH: Unfiltered surface water","Proportion",3.33,0.01,9.66
12,"South Kourdofan","WASH: Unprotected well","Proportion",0,0,0.27
12,"South Kourdofan","WASH: Trucked from unprotected sources","Proportion",0,0,0.04
12,"South Kourdofan","WASH: Uses basic drinking water sources (within 30 minutes)","Proportion",74.39,63.34,85.45
12,"South Kourdofan","WASH: Public pipe network in house within 30 minutes","Proportion",2.24,0.01,7.95
12,"South Kourdofan","WASH: Public pipe network in yard within 30 minutes","Proportion",5.58,0.01,12.52
12,"South Kourdofan","WASH: Public water pipe within 30 minutes","Proportion",0.3,0.01,1.25
12,"South Kourdofan","WASH: Protected ground water within 30 minutes","Proportion",59.87,42.44,77.31
12,"South Kourdofan","WASH: Protected well within 30 minutes","Proportion",5.23,0.01,11.73
12,"South Kourdofan","WASH: Filtered surface water within 30 minutes","Proportion",8.26,0.95,15.56
12,"South Kourdofan","WASH: Trucked from improved sources within 30 minutes","Proportion",1.16,0.01,3.98
12,"South Kourdofan","WASH: Bottled water within 30 minutes","Proportion",0,0,0.04
12,"South Kourdofan","WASH: Unfiltered surface water within 30 minutes","Proportion",2.36,0.01,6.94
12,"South Kourdofan","WASH: Unprotected well within 30 minutes","Proportion",0,0,0.09
12,"South Kourdofan","WASH: Trucked from unprotected sources within 30 minutes","Proportion",0,0,0
13,"West Kourdofan","WASH: Uses improved drinking water sources","Proportion",81.64,76.62,86.66
13,"West Kourdofan","WASH: Public pipe network in house","Proportion",0.94,0.01,2.6
13,"West Kourdofan","WASH: Public pipe network in yard","Proportion",3.14,0.01,7.33
13,"West Kourdofan","WASH: Public water pipe","Proportion",0,0,0
13,"West Kourdofan","WASH: Protected ground water","Proportion",60.05,44.98,75.12
13,"West Kourdofan","WASH: Protected well","Proportion",6.74,0.01,15.58
13,"West Kourdofan","WASH: Filtered surface water","Proportion",15.77,3.1,28.44
13,"West Kourdofan","WASH: Trucked from improved sources","Proportion",10.76,0.96,20.57
13,"West Kourdofan","WASH: Bottled water","Proportion",0,0,0
13,"West Kourdofan","WASH: Unfiltered surface water","Proportion",0.58,0.01,2.69
13,"West Kourdofan","WASH: Unprotected well","Proportion",0,0,0
13,"West Kourdofan","WASH: Trucked from unprotected sources","Proportion",0,0,0
13,"West Kourdofan","WASH: Uses basic drinking water sources (within 30 minutes)","Proportion",58.45,43.63,73.27
13,"West Kourdofan","WASH: Public pipe network in house within 30 minutes","Proportion",0.93,0.01,2.59
13,"West Kourdofan","WASH: Public pipe network in yard within 30 minutes","Proportion",2.13,0.01,5.72
13,"West Kourdofan","WASH: Public water pipe within 30 minutes","Proportion",0,0,0
13,"West Kourdofan","WASH: Protected ground water within 30 minutes","Proportion",49.77,33.09,66.45
13,"West Kourdofan","WASH: Protected well within 30 minutes","Proportion",3.97,0.01,11.23
13,"West Kourdofan","WASH: Filtered surface water within 30 minutes","Proportion",10.62,0.18,21.06
13,"West Kourdofan","WASH: Trucked from improved sources within 30 minutes","Proportion",1.66,0.01,5.16
13,"West Kourdofan","WASH: Bottled water within 30 minutes","Proportion",0,0,0
13,"West Kourdofan","WASH: Unfiltered surface water within 30 minutes","Proportion",0.29,0.01,1.71
13,"West Kourdofan","WASH: Unprotected well within 30 minutes","Proportion",0,0,0
13,"West Kourdofan","WASH: Trucked from unprotected sources within 30 minutes","Proportion",0,0,0
14,"North Darfur","WASH: Uses improved drinking water sources","Proportion",74.14,66.36,81.91
14,"North Darfur","WASH: Public pipe network in house","Proportion",2.05,0.01,5.77
14,"North Darfur","WASH: Public pipe network in yard","Proportion",3.84,0.01,10.19
14,"North Darfur","WASH: Public water pipe","Proportion",0.11,0.01,0.36
14,"North Darfur","WASH: Protected ground water","Proportion",43.64,30.63,56.64
14,"North Darfur","WASH: Protected well","Proportion",21.95,11.4,32.51
14,"North Darfur","WASH: Filtered surface water","Proportion",10.74,2.76,18.73
14,"North Darfur","WASH: Trucked from improved sources","Proportion",2.55,0.01,5.74
14,"North Darfur","WASH: Bottled water","Proportion",0,0,0
14,"North Darfur","WASH: Unfiltered surface water","Proportion",7.51,0.51,14.51
14,"North Darfur","WASH: Unprotected well","Proportion",0.17,0.01,0.92
14,"North Darfur","WASH: Trucked from unprotected sources","Proportion",0,0,0
14,"North Darfur","WASH: Uses basic drinking water sources (within 30 minutes)","Proportion",56.63,42.85,70.41
14,"North Darfur","WASH: Public pipe network in house within 30 minutes","Proportion",2.14,0.01,5.74
14,"North Darfur","WASH: Public pipe network in yard within 30 minutes","Proportion",2.35,0.01,6.52
14,"North Darfur","WASH: Public water pipe within 30 minutes","Proportion",0.11,0.01,0.36
14,"North Darfur","WASH: Protected ground water within 30 minutes","Proportion",33.88,20.01,47.75
14,"North Darfur","WASH: Protected well within 30 minutes","Proportion",16.48,7.15,25.81
14,"North Darfur","WASH: Filtered surface water within 30 minutes","Proportion",8.14,2.23,14.04
14,"North Darfur","WASH: Trucked from improved sources within 30 minutes","Proportion",1.67,0.01,4.18
14,"North Darfur","WASH: Bottled water within 30 minutes","Proportion",0,0,0
14,"North Darfur","WASH: Unfiltered surface water within 30 minutes","Proportion",4.08,0.01,8.89
